coding	meaning
  2	refractometry result error: "  2"
 E6	refractometry result error: " E6"
 E8	refractometry result error: " E8"
 E9	refractometry result error: " E9"
 e4	refractometry result error: " e4"
C 1	refractometry result error: "C 1"
C 3	refractometry result error: "C 3"
CE7	refractometry result error: "CE7"
CE9	refractometry result error: "CE9"
Ce5	refractometry result error: "Ce5"
L 0	refractometry result error: "L 0"
L 2	refractometry result error: "L 2"
LE6	refractometry result error: "LE6"
LE8	refractometry result error: "LE8"
LE9	refractometry result error: "LE9"
Le4	refractometry result error: "Le4"
