coding	meaning
1185	vitamin e product [ctsu]
1187	chondroitin product
1189	co-enzyme q10/ubiquinone/bio-quinone/coenzyme q10
1191	indigestion remedy (over the counter)
1193	omega-3/fish oil supplement
1195	vitamin c product
1197	evening primrose oil product
1199	food supplement/plant/herbal extract
1201	st john's wort/hypericum [ctsu]
1203	aloe vera product
1205	saw palmetto product
1207	unknown supplement
99999	Free-text entry, unable to be coded
1140850692	aludrox gel
1140850708	dijex liquid
1140850712	diovol fruit flavour suspension
1140850714	droxalin tablet
1140850716	dynese orange flavour suspension
1140850720	gastrils 500mg green (mint) pastille
1140850722	gastrils 500mg yellow (fruit) pastille
1140850726	gelusil tablet
1140850746	malinal 500mg/5ml suspension
1140850748	mucogel tablet
1140850750	phazyme tablet
1140850752	polyalk suspension
1140850760	alexitol sodium 360mg tablet
1140850762	almasilate 500mg/5ml suspension
1140850770	actal 360mg/5ml suspension
1140850776	altacaps 500mg tablet
1140850788	andursil suspension
1140850792	antasil liquid
1140850818	prodexin tablet
1140850822	siloxyl suspension
1140850826	simeco suspension
1140850830	unigest tablet
1140850836	peptard 0.2mg tablet
1140850838	kolantyl gel
1140850842	robinul 2mg tablet
1140850852	piperidolate hydrochloride
1140850854	dactil 50mg tablet
1140850858	colven 135mg granules
1140850870	app stomach tablet
1140850874	cantil+phenobarbitone tablet
1140850876	emetrol solution
1140850878	libraxin tablet
1140850902	nulacin tablet
1140850904	roter tablet
1140850906	titralac tablet
1140850914	eumydrin 0.6% solution
1140850920	aluminium hydroxide+belladonna mixture
1140850922	belladonna paediatric 0.05mg/5ml liquid
1140850924	magnesium trisilicate+belladonna 0.15mg tablet
1140850926	alka-donna tablet
1140850930	aluhyde tablet
1140850932	bellocarb tablet
1140850934	carbellon tablet
1140850936	neutradonna tablet
1140850954	biogastrone 50mg tablet
1140850956	duogastrone 50mg tablet
1140850960	rabro tablet
1140850966	vi-siblin 66% granules
1140850982	cellucon 500mg tablet
1140850984	cologel 900mg/10ml mixture
1140850996	alvercol granules 500g
1140851000	dulcodos tablet
1140851022	ceratonia
1140851024	arobon 80% powder
1140851028	chalk
1140851040	aromatic chalk + opium mixture
1140851046	flar capsule
1140851062	fybranta 2g tablet
1140851064	lejfibre 10g biscuits
1140851066	trifyba 250g powder
1140851072	dioctyl 100mg tablet
1140851080	fig
1140851088	senokot 7.5mg tablet
1140851108	paraffin liquid+phenolphthalein suspension
1140851110	phenolphthalein 125mg tablet
1140851112	rhubarb compound mixture
1140851114	rhubarb+soda ammoniated mixture
1140851116	agarol mixture
1140851118	alophen pill
1140851120	kest tablet
1140851122	opobyl pill
1140851126	bismuth subgallate compound suppository bp
1140851128	hamamelis 200mg suppository
1140851130	hamamelis + zinc oxide suppository
1140851132	alcos anal ointment
1140851138	bismodyne ointment
1140851142	lasonil ointment 14g
1140851144	x-prep 1mg/ml liquid
1140851150	laxoberal 5mg/5ml elixir
1140851180	beojex 1.72g suppository
1140851210	cortenema 100mg/60ml enema
1140851218	anacal ointment
1140851224	cotazym capsule
1140851272	anacal suppository
1140851278	betnovate compound suppository
1140851304	chenocedon 250mg capsule
1140851306	dehydrocholic acid
1140851314	acidol-pepsin tablet
1140851332	centyl 2.5mg tablet
1140851336	urizide 5mg tablet
1140851338	enduron 5mg tablet
1140851342	aluzine 20mg tablet
1140851360	brinaldix k tablet
1140851362	esidrex k tablet
1140851364	hygroton k tablet combination pack
1140851368	navidrex-k tablet
1140851400	diuresal 40mg tablet
1140851412	frusetic 40mg tablet
1140851414	frumax 40mg tablet
1140851418	diatensec 50mg tablet
1140851420	laractone 25mg tablet
1140851428	normetic tablet
1140851430	synuretic tablet
1140851432	hypertane-50 tablet
1140851436	vasetic co-amilozide 5/50mg tablet
1140851480	slow-pren 160mg m/r tablet
1140851484	paritane 20mg tablet
1140851492	betadren 5mg tablet
1140851508	spiroprop tablet
1140851522	metoros 95mg tablet
1140851530	quinidine
1140851532	kiditard 250mg m/r capsule
1140851534	quinicardine 200mg tablet
1140851556	bedranol 10mg tablet
1140851576	laracor 20mg tablet
1140851586	reserpine 100micrograms tablet
1140851590	decaserpyl 5mg tablet
1140851594	hypercal 2mg tablet
1140851596	rauwiloid 2mg tablet
1140851598	serpasil 100micrograms tablet
1140851602	abicol tablet
1140851634	hypercal-b tablet
1140851636	seominal tablet
1140851646	natirose tablet
1140851652	isoket 10mg tablet
1140851658	rautrax tablet
1140851660	serpasil-esidrex tablet
1140851666	esbatal 10mg tablet
1140851690	acezide 50mg tablets x56
1140851692	capozide 50mg tablets x28
1140851712	vascardin 10mg tablet
1140851726	cardiacap 30mg m/r capsule
1140851730	calcicard 60mg tablet
1140851736	cyclandelate
1140851738	cyclobral 400mg capsule
1140851742	cyclospasmol 400mg tablet
1140851754	defencin cp 40mg m/r capsule
1140851756	duvadilan 20mg tablet
1140851784	lidoflazine
1140851786	clinium 120mg tablet
1140851790	vasad 5mg capsule
1140851794	calcipine 5mg capsule
1140851798	prenylamine
1140851800	synadrin 60mg tablet
1140851812	gtn 400micrograms spray
1140851818	bamethan sulphate
1140851820	vasculit 12.5mg tablet
1140851826	pernivit tablet
1140851852	oxedrine tartrate
1140851854	sympatol 10% liquid
1140851880	dextrothyroxine sodium
1140851882	choloxin 2mg tablet
1140851906	asmaven 2mg tablet
1140851910	cobutolin 2mg tablet
1140851930	vasyrol 25mg tablet
1140851960	dicynene 250mg tablet
1140852376	fructose powder
1140852748	ruthmol salt subtitute powder
1140852750	selora powder
1140852756	vitamin a
1140852760	ro-a-vit 50,000iu tablet
1140852766	vitamin a+d capsule
1140852768	halycitrol syrup
1140852772	paxadon 50mg tablet
1140852784	benerva 3mg tablet
1140852836	cacit 500mg effervescent tablet
1140852864	aluzyme tablet
1140852870	lipoflavonoid capsule
1140852872	lipotriad capsule
1140852876	tonivitan syrup
1140852878	wallachol tablet
1140852884	calcimax syrup
1140852886	ce-cobalin syrup
1140852888	concavit capsule
1140852894	dalivit capsule
1140852900	juvel tablet
1140852904	minamino compound syrup
1140852908	multivite pellet
1140852910	orovite tablet
1140852916	polyvite capsule
1140852918	surbex-t tablet
1140852920	tonivitan capsule
1140852922	verdiviton elixir
1140852924	vi-daylin syrup
1140852926	vitavel elixir
1140852932	gentian acid mixture
1140852934	aneurone mixture
1140852946	calciferol high-str. 10,000units tablet
1140852948	calcium+vitamin d 500units tablet
1140852954	chocovite 15micrograms tablet
1140852956	sterogyl 15mg/1.5ml solution
1140852958	tachyrol 200micrograms tablet
1140852962	ephynal 3mg tablet
1140852970	vita-e 75iu tablet
1140852976	multivitamins
1140852982	allbee with c capsule
1140852984	bc-500 tablet
1140852986	bravit tablet
1140852994	labiton tonic
1140852996	metatone tonic
1140853000	strychnine
1140853012	mobilan 25mg capsule
1140853018	slo-indo 75mg m/r capsule
1140853022	butazolidin 100mg tablet
1140853030	tolectin ds 400mg capsules
1140853054	myocrisin 1mg/0.5ml injection
1140853056	myocrisin 5mg/0.5ml injection
1140853066	choline magnesium trisalicylate
1140853068	trilisate 500mg tablet
1140853072	sodium salicylate
1140853082	ramodar 200mg tablet
1140853090	ibular 200mg tablet
1140853094	ibumetin 200mg tablet
1140853100	paxofen 200mg tablet
1140853108	indoflex 25mg capsule
1140853110	indolar 25mg capsule
1140853122	aloral 100mg tablet
1140853124	aloral 300mg tablet
1140853126	aluline 100mg tablet
1140853128	aluline 300mg tablet
1140853130	hamarin 100mg tablet
1140853138	mestinon 1mg/1ml injection
1140853162	finalgon ointment
1140853180	chloromycetin redidrops 0.5% eye drops 5ml
1140853184	opulets chloramphenicol single-use eye drops 0.5ml
1140853186	chloramphenicol eye drops
1140853188	chloramphenicol 0.5%
1140853196	norflex 100mg tablet
1140853200	bromelains
1140853202	ananase forte 100,000units tablet
1140853210	chymoral 50,000au tablet
1140853214	deanase 10mg e/c tablet
1140853224	deoxyribonuclease
1140853234	adrenaline cream
1140853262	soframycin 0.5% eye drops 8ml
1140853270	albucid 2.5% eye ointment
1140853272	albucid 6% eye ointment
1140853274	albucid 10% eye ointment
1140853276	isopto cetamide eye drops
1140853278	minims sulphacetamide single-use eye drops 0.5ml
1140853282	sulphacetamide 10% eye drops
1140853336	ophthalmadine 0.1% eye drops
1140853338	ophthalmadine 0.5% eye ointment
1140853342	sulfomyl 5% eye drops
1140853344	mafee 5% eye drops
1140853370	albucid 20% eye drops
1140853424	opulets atropine single-use eye drops 0.5ml
1140853440	lachesine chloride
1140853448	eumovate 0.1% eye drops 5ml
1140853480	cortucid eye ointment
1140853484	framygen eye ointment
1140853488	neo-cortef eye drops
1140853558	physostigmine+pilocarpine 0.25%+2% eye drops
1140853574	opulets pilocarp-1% del 0.5ml
1140853576	isopto epinal 1% eye drops
1140853596	tosmilen 0.25% eye drops
1140853676	opulets sodium chloride single-use eye drops 0.5ml
1140853678	minims thymoxamine single-use eye drops 0.5ml
1140853684	zincfrin 0.25% eye drops
1140853710	minims amethocaine hcl 0.5% single-use eye drops 0.5ml
1140853776	clioquinol 1% ear drops
1140853790	ototrips ear drops
1140853854	gentamicin+hydrocortisone acetate 0.3%/1% ear drops
1140853862	neo-cortef ear drops 5ml
1140853910	soframycin nebuliser solution
1140853970	iliadin mini 0.05% nose drops
1140853972	iliadin mini paediatric 0.025% nose drops
1140853978	oxymetazoline 500micrograms/ml nasal spray
1140853984	neophryn 0.25% nose drops
1140853986	neophryn 0.5% nasal spray
1140853994	xylometazoline 0.1% nose drops
1140854000	hayphryn nasal spray
1140854002	otrivine-antistin nose drops
1140854008	argotone nose drops
1140854010	argotone nasal spray
1140854030	pimafucin 2.5% suspension 20ml
1140854076	macrogol ointment
1140854112	merocaine lozenge
1140854138	chloraseptic throat spray 100ml
1140854150	wool fat hydrous ointment
1140854222	titanium dioxide 20% paste
1140854254	dermacare cream 100ml
1140854256	dermacare lotion 75ml
1140854258	dermacare lotion 200ml
1140854260	dermacare lotion 500ml
1140854432	cortacream 1% band
1140854480	dome-cort 0.125% cream
1140854544	hydroderm ointment
1140854546	nybadex ointment
1140854688	desonide
1140854694	tridesilon 0.05% ointment
1140854700	desoxymethasone
1140854784	temetex 0.1% cream
1140854788	temetex 0.1% ointment
1140854816	fluocinonide
1140854834	fluocortolone
1140854888	synandone 0.01% cream
1140854916	flurandrenolone
1140854942	silderm cream
1140854990	halcinonide
1140855092	etretinate
1140855094	tigason 10mg capsule
1140855134	bufexamac product
1140855140	bufexamac 5% cream
1140855150	antraderm mild 0.5% waxstick
1140855190	resorcinol + sulphur paste
1140855192	dome-acne cream
1140855194	dome-acne lotion
1140855196	dome-acne application
1140855254	benzagel 5% gel
1140855298	salbulin 2mg tablet
1140855302	salbulin 2mg/2ml liquid
