coding	meaning	node_id	parent_id	selectable
1000	Elective admission	1000	0	Y
1001	Elective admission: Waiting List	1001	1000	Y
1002	Elective admission: Booked	1002	1000	Y
1003	Elective admission: Planned	1003	1000	Y
1004	Elective admission: Welsh Assembly Government 2nd Offer Scheme	1004	1000	Y
2000	Emergency admission	2000	0	Y
2001	Emergency admission: A&E	2001	2000	Y
2002	Emergency admission: GP	2002	2000	Y
2003	Emergency admission: Bed bureau	2003	2000	Y
2004	Emergency admission: Outpatients (obsolete)	2004	2000	Y
2005	Emergency admission: Consultant home visit	2005	2000	Y
2006	Emergency admission: NHS Direct Services	2006	2000	Y
2007	Emergency admission: Self injury or poisoning	2007	2000	Y
2008	Emergency admission: Road traffic accident	2008	2000	Y
2009	Emergency admission: Home accident	2009	2000	Y
2010	Emergency admission: Work accident	2010	2000	Y
2011	Emergency admission: Other injury	2011	2000	Y
2012	Emergency admission: Non-injury	2012	2000	Y
2013	Emergency admission: Consultant clinic of this or another health care provider	2013	2000	Y
2014	Emergency admission: Outpatients	2014	2000	Y
2015	Emergency admission: Mental Health Crisis Resolution Team	2015	2000	Y
2016	Emergency admission: via A&E of another hospital provide	2016	2000	Y
2017	Emergency admission: transfer from another hospital provider	2017	2000	Y
2018	Emergency admission: babies born at home	2018	2000	Y
2019	Emergency admission: other	2019	2000	Y
3000	Maternity admission	3000	0	Y
3001	Maternity admission: Post-partum	3001	3000	Y
3002	Maternity admission: Ante-partum	3002	3000	Y
3003	Maternity admission: Birth within NHS provider	3003	3000	Y
3004	Maternity admission: Birth in another NHS provider	3004	3000	Y
3005	Maternity admission: Neonatal	3005	3000	Y
4000	Psychiatric admission	4000	0	Y
4001	Psychiatric admission: Admission panel of a High Security Psychiatric Hospital	4001	4000	Y
4002	Psychiatric admission: Waiting list of a High Security Psychiatric Hospital	4002	4000	Y
5000	Transfer	5000	0	Y
5001	Transfer: Planned	5001	5000	Y
6000	Deferred admission	6000	0	Y
6001	Deferred admission: Patient delay	6001	6000	Y
6002	Deferred admission: Hospital delay	6002	6000	Y
7000	Other admission	7000	0	Y
8000	Not applicable	8000	0	Y
9000	Not known	9000	0	Y
