coding	meaning
99999	Free-text entry, unable to be coded
1140853180	chloromycetin redidrops 0.5% eye drops 5ml
1140853184	opulets chloramphenicol single-use eye drops 0.5ml
1140853186	chloramphenicol eye drops
1140853188	chloramphenicol 0.5%
1140853262	soframycin 0.5% eye drops 8ml
1140853270	albucid 2.5% eye ointment
1140853272	albucid 6% eye ointment
1140853274	albucid 10% eye ointment
1140853276	isopto cetamide eye drops
1140853278	minims sulphacetamide single-use eye drops 0.5ml
1140853282	sulphacetamide 10% eye drops
1140853342	sulfomyl 5% eye drops
1140853344	mafee 5% eye drops
1140853370	albucid 20% eye drops
1140853484	framygen eye ointment
1140853488	neo-cortef eye drops
1140853790	ototrips ear drops
1140853854	gentamicin+hydrocortisone acetate 0.3%/1% ear drops
1140853862	neo-cortef ear drops 5ml
1140853910	soframycin nebuliser solution
1140856602	benethamine penicillin
1140856604	triplopen injection
1140856606	benzathine penicillin
1140856608	penidural 229mg/5ml suspension
1140856610	penidural 115mg/ml paediatric drops
1140856612	penidural-la 2.29g/10ml injection
1140856618	phenethicillin
1140856620	broxil 250mg capsule
1140856622	broxil 125mg/5ml syrup
1140856636	distaquaine v-k 125mg tablet
1140856638	distaquaine v-k 62.5mg/5ml syrup
1140856640	distaquaine v-k 125mg/5ml syrup
1140856642	distaquaine 250mg/5ml syrup
1140856644	econocil vk 250mg capsule
1140856646	econocil vk 125mg tablet
1140856690	crystapen 300mg injection
1140856692	crystapen 3g injection
1140856694	crystapen 6g injection
1140856696	crystapen 12mg intrathecal injection
1140856704	econocil vk 250mg tablet
1140856706	stabillin v-k 62.5mg/5ml syrup
1140856708	v-cil-k 250mg capsule
1140856710	v-cil-k 125mg tablet
1140856712	v-cil-k 250mg tablet
1140856714	v-cil-k paediatric 62.5mg/5ml syrup
1140856716	v-cil-k paediatric 125mg/5ml syrup
1140856718	v-cil-k 250mg/5ml syrup
1140856722	depocillin 3g injection
1140856724	ampilar 125mg/5ml syrup
1140856726	ampilar 250mg/5ml syrup
1140856728	britcin 250mg capsule
1140856730	britcin 500mg capsule
1140856732	penbritin 125mg tablet
1140856734	vidopen 125mg/5ml syrup
1140856736	vidopen 250mg/5ml syrup
1140856740	dicapen 750mg injection
1140856742	dicapen 1.5g injection
1140856744	dicapen 3g injection
1140856746	unasyn 750mg/10ml injection
1140856748	unasyn 375mg tablet
1140856750	sultamicillin 375mg tablet
1140856752	sulbactam ampicillin 750mg injection
1140856754	ciclacillin
1140856756	calthor 250mg tablet
1140856758	calthor 500mg tablet
1140856760	calthor 125mg/5ml suspension
1140856762	calthor 250mg/5ml suspension
1140856772	mezlocillin
1140856774	baypen 500mg injection
1140856778	orbenin 125mg/5ml syrup
1140856780	orbenin 1g injection
1140856784	staphlipen 250mg capsule
1140856786	staphlipen 500mg capsule
1140856788	staphlipen 250mg injection
1140856790	staphlipen 500mg injection (pdr for recon)
1140856792	staphlipen 1g injection
