Field	FieldID	EXCLUDED	CAT_MULT_INDICATOR_FIELDS	CAT_SINGLE_TO_CAT_MULT	CAT_SINGLE_DATA_CODING	ValueType
FIELD1	1					Continuous
FIELD2	2					Continuous
FIELD3	3					Continuous
FIELD4	4					Continuous
FIELD5	5					Continuous
FIELD6	6					Continuous
FIELD21	21					Integer
FIELD22	22					Integer
FIELD23	23					Integer
FIELD24	24					Integer
FIELD25	25					Integer
FIELD26	26					Integer
FIELD27	27					Integer
FIELD32	32				1	Categorical single
FIELD33	33				1	Categorical single
FIELD34	34				1	Categorical single
FIELD35	35				2	Categorical single
FIELD36	36				2	Categorical single
FIELD37	37				3	Categorical single
FIELD38	38				3	Categorical single
FIELD41	41		NO_NAN			Categorical multiple
FIELD42	42		ALL			Categorical multiple
FIELD43	43		99			Categorical multiple
FIELD44	44		NO_NAN	YES-INSTANCES		Categorical single
FIELD99	99	YES				Continuous
FIELD31	31	YES				Integer
FIELD21022	21022	YES				Categorical single
FIELD22000	22000	YES				Categorical multiple


