varName,varType,n,beta,lower,upper,pvalue
41#A1,CAT-MUL,516/14(530),-0.0923557834369921,-0.604318268636898,0.415860123576197,0.731283609278491
41#A2,CAT-MUL,495/35(530),-1.24250185838579,-1.62960042688341,-0.887102760424099,4.02529697948092e-11
41#A3,CAT-MUL,25/505(530),2.60299104913144,1.92190675044312,3.49344841921067,4.01993700982098e-11
42#A1,CAT-MUL,986/14(1000),-0.742168551681468,-1.27958997966834,-0.21074132857573,0.00625348360881744
42#A2,CAT-MUL,965/35(1000),-1.9048315094404,-2.41596033097747,-1.45191305152567,6.6036582021544e-15
42#A3,CAT-MUL,495/505(1000),-2.53879885591662,-2.86719437561936,-2.23511475752686,5.60824611427478e-56
43#A1,CAT-MUL,521/14(535),-0.118660670448722,-0.660567582659025,0.404639992765588,0.672574033804116
43#A2,CAT-MUL,500/35(535),-1.34326623535089,-1.76166165073619,-0.959249118076131,3.96615578379219e-11
43#A3,CAT-MUL,30/505(535),1.08228383424423,0.702061178293818,1.48159863585603,4.2383532774057e-08
44#A1,CAT-MUL,516/14(530),-0.0923557834369921,-0.604318268636898,0.415860123576197,0.731283609278491
44#A2,CAT-MUL,495/35(530),-1.24250185838579,-1.62960042688341,-0.887102760424099,4.02529697948092e-11
44#A3,CAT-MUL,25/505(530),2.60299104913144,1.92190675044312,3.49344841921067,4.01993700982098e-11
