varName,varType,n,beta,lower,upper,pvalue
5,CONTINUOUS,100/400(500),0.110016918922924,-0.120176251915122,0.3409581397031,0.348684506895428
23,INTEGER,800/100(900),-0.0587138905197793,-0.26814449316419,0.151300741243203,0.582832886096622
24,INTEGER,800/91(891),-0.0285925725557721,-0.24774207781053,0.191259095238754,0.798308506967338
34,CAT-SIN,300/600(900),-0.109224826420908,-0.250225740466006,0.0305843750212989,0.12690463825573
41#A2,CAT-MUL,495/30(525),-0.279921330329479,-0.643524391957283,0.0802575098503971,0.12881895054225
41#A3,CAT-MUL,25/500(525),0.263898870913534,-0.128807731460186,0.659366754827761,0.188723014880222
42#A2,CAT-MUL,970/30(1000),-0.271092529403254,-0.638941563159604,0.0972825617771356,0.148799368818932
42#A3,CAT-MUL,500/500(1000),0.0864433821127079,-0.0384102476318754,0.212002442173513,0.175552364136641
43#A2,CAT-MUL,500/10(510),-0.359968357309472,-1.01212718829243,0.29711440200682,0.278795837823767
43#A3,CAT-MUL,480/30(510),0.0245485903675462,-0.353207150203736,0.408564777741574,0.899247201250351
44#A2,CAT-MUL,495/30(525),-0.279921330329479,-0.643524391957283,0.0802575098503971,0.12881895054225
44#A3,CAT-MUL,25/500(525),0.263898870913534,-0.128807731460186,0.659366754827761,0.188723014880222
